WindSpeed9am,Humidity9am,Pressure9am,Temp9am
20,71,1007.7,16.9
4,44,1010.6,17.2
19,38,1007.6,21
11,45,1017.6,18.1
7,82,1010.8,17.8
19,55,1009.2,20.6
20,49,1009.6,18.1
6,48,1013.4,16.3
7,42,1008.9,18.3
15,58,1007,20.1
17,48,1011.8,20.4
15,89,1010.5,15.9
28,76,994.3,17.4
24,65,1001.2,15.8
NA,50,1013.4,17.3
11,69,1012.2,17.2
6,80,1005.8,18
24,47,1009.4,15.5
17,45,1019.2,15.8
9,56,1019.3,19.1
17,38,1013.6,24.5
19,54,1007.8,23.8
6,55,1011,20.9
4,49,1012.9,21.5
9,45,1010.9,23.2
0,41,1006.8,26.6
13,56,1005.2,24.6
19,49,1004.8,21.6
11,78,1005.6,12.5
17,48,1006.1,16.9
19,46,1004.5,19.7
19,44,1014.4,14.9
11,43,1018.7,17.1
6,41,1015.1,20.7
6,41,1012.6,22.4
4,33,1010.9,23.1
6,34,1007,25.2
17,43,1011.9,17.9
20,38,1017.8,17.2
15,36,1013.4,20.2
13,52,1009.9,22.8
7,48,1014.1,24.2
7,51,1015.7,24.3
7,40,1011.6,25.6
20,34,1008.4,27.6
20,46,1014.1,18
19,35,1019.7,16
17,34,1019.7,20.9
2,39,1015.8,22
9,36,1010.1,26.8
15,48,1009.6,27.3
26,60,1005.3,26.1
6,43,1007.9,22.8
30,41,1005.4,23.3
7,44,1016.5,21.2
7,48,1017.7,23.4
9,48,1017.8,25.8
7,45,1014.9,28.2
6,38,1015.7,29
9,37,1014.6,29.2
4,33,1014.2,29.9
15,27,1012.5,32.4
19,32,1011.7,28.8
13,51,1009.2,27.2
11,53,1008.8,25.5
7,48,1005.9,26.5
6,39,1008,28.7
9,36,1008.2,29.6
9,20,1007,34.5
7,66,1009.3,18.7
20,50,1011.6,17.4
19,45,1012.8,16.7
11,58,1017,17
26,41,1023.3,18
7,37,1022.5,18.3
7,50,1016.2,19.2
17,43,1017.7,21.4
7,46,1017.2,18
4,44,1012.4,22.1
4,53,1007.8,21
7,45,1010.1,21.5
2,63,1012.5,19.3
11,49,1015.6,20.9
6,48,1013,20.7
7,54,1014,18.7
0,49,1016.6,15
15,43,1017.8,20.7
0,53,1016.2,20
6,44,1007.5,22.2
4,53,1010.5,17.3
6,53,1014.1,18
15,58,1014.7,23
26,57,1014.5,15.6
19,60,1013.7,13.9
0,52,1014.5,12.6
4,58,1015.2,13.3
7,54,1017,17.6
6,49,1019.7,18.6
2,51,1019.5,20.1
15,57,1021.3,21.5
11,52,1019.5,22.2
0,82,1017.4,19
9,82,1012.7,19.9
11,62,1013.4,12.7
2,78,1013.3,12.2
9,78,1015.6,12.1
6,76,1017.4,14.7
6,56,1016.3,14.7
7,50,1016.5,17.4
0,47,1017,18.8
4,56,1014.8,18.1
0,63,1013.7,18.8
6,62,1016.5,15.4
11,69,1017.4,18.3
0,87,1019.1,16.2
0,63,1023,16.5
2,60,1023.8,14
0,60,1022.4,16
0,57,1023,17.2
2,61,1023.2,17.1
0,59,1022.6,16.6
0,59,1022.6,18.4
7,92,1018.8,19
0,60,1019.8,13.9
6,72,1020.4,12.9
13,58,1021.8,13.8
7,55,1026.7,13.3
7,60,1027.1,13.8
9,67,1024.2,15.1
6,59,1021.5,16.4
6,75,1024.4,18
0,88,1024.1,15.4
4,65,1023,16.1
0,68,1016.3,16.2
26,44,1008.2,20.5
0,65,1016.3,9.6
6,59,1018.5,12.6
2,73,1022.8,12.4
13,54,1022.7,18
2,58,1023.6,14.1
6,68,1025.2,12.2
0,73,1026,11.2
0,68,1021.3,12.9
7,74,1008.9,14.9
19,83,1004.8,13.3
26,77,1004,9.5
9,82,1013.8,7.6
15,83,1018,10.1
9,62,1023.1,8.2
0,70,1023.4,7.9
0,77,1026,7.2
7,81,1026.9,10.1
4,75,1028.7,10.6
6,86,1029.8,9.6
0,71,1031.4,10.3
6,82,1028.5,10
6,86,1026.2,8.3
0,68,1028.8,11
0,78,1026,9.4
0,69,1025.1,11.7
6,89,1025.6,8.5
4,81,1022.3,9.1
4,86,1018.4,7.5
17,77,1015.3,10.3
13,82,1015,12.9
22,82,1011.8,13
6,83,1022.5,7
0,82,1024.7,8.8
0,87,1023.6,7.4
2,75,1022.8,12.4
0,81,1025.2,9.4
4,75,1025.2,10.1
6,71,1022.2,11.9
0,69,1025,12.5
9,77,1024.6,11.6
2,97,1021.4,13.6
0,99,1021.7,10.1
0,91,1023.4,7.1
0,67,1025.6,10.2
0,65,1030.3,9.6
0,73,1034.1,8
0,88,1031.9,9.2
0,78,1029.3,10.6
6,85,1023.5,12.4
2,99,1021,11.3
4,86,1017.9,7.6
4,99,1015.2,4.7
6,93,1007.5,10
9,88,1009.6,10.3
13,92,1011.1,6.8
15,77,1017.6,4.9
0,84,1025.1,2.2
6,99,1025.7,1.9
4,86,1018.3,5.9
0,82,1011.8,6.5
2,99,1013.9,5.4
0,83,1022.3,6.6
0,94,1029.7,5.6
6,99,1031.6,4.7
6,93,1030.8,5.4
4,85,1025.7,7
4,99,1021.9,8.3
4,99,1020.7,9.1
11,99,1020.2,8.3
7,81,1014.9,9.6
2,99,1015.5,6.9
7,99,1011.6,8.4
7,79,1007.8,10.3
9,98,1007.5,9.8
9,91,1011.4,10.1
11,78,1007.6,13.5
20,85,1006.5,9.5
19,88,1009.4,8.8
17,82,1008.6,7.8
15,91,1016.3,7.9
9,80,1019.9,7
7,99,1022.4,2.3
0,91,1026,2.4
0,84,1030.4,3.3
0,84,1032,3.8
0,93,1028.7,4.8
0,96,1020.5,8.1
7,77,1010.4,11.6
13,82,1007.6,9
9,94,1006.6,7.5
4,99,1010.5,5.9
0,95,1015.6,3.8
4,88,1022.4,4.5
0,98,1023,3.2
7,94,1021.6,7.8
0,95,1023.1,7.1
4,87,1019.7,6.6
7,74,1009.5,11.3
13,83,1015.1,8.5
0,87,1027.3,3.7
0,95,1026.8,2.5
0,85,1018,4.4
6,99,1019.9,4.2
11,89,1024,8.8
11,98,1026,9.3
0,99,1025.8,6.5
19,81,1021.3,11.6
0,99,1026.8,8.9
2,94,1027.9,10.5
20,79,1023.1,9.9
0,91,1021.7,5.7
7,98,1022.2,8.9
0,99,1021.9,8
35,79,1012.8,9.8
6,78,1026.4,4.4
2,91,1021.6,2
4,72,1018.6,5.9
19,62,1009,14.8
6,99,1011.5,9.1
6,94,1015.7,9.4
0,99,1021.1,9
7,99,1021.2,6.7
11,79,1012.2,11
20,73,1018.2,9.8
0,85,1029.8,6
7,99,1027.7,5.5
6,78,1019.7,11.1
26,72,1004,13.3
9,90,1012,5.8
7,94,1011.5,10.8
26,68,1004.1,13.2
15,75,1009.6,7.7
13,83,1016.1,6.9
11,72,1018.5,8.9
7,87,1016.9,7.2
20,81,1002.6,13
26,77,1014.2,6.7
19,90,1018.9,9.7
7,96,1023.2,9.7
9,82,1024.9,7
4,80,1016.6,10.2
6,85,1014.4,12.5
4,81,1019.5,8.6
9,79,1018.4,8.3
9,73,1005,13.9
7,90,1009.9,9.4
17,82,1012.8,9.5
7,83,1022.2,8.7
6,70,1020,13.2
9,44,1017,17.3
2,60,1022.6,10.9
6,68,1022.5,8.1
7,74,1022.2,11.2
6,76,1013.8,12.9
0,75,1021.2,12.9
6,98,1018.8,10.2
0,79,1014.6,14.3
9,73,1014.5,11.5
17,77,1002.6,15.5
26,82,997.8,13.1
9,72,1015.1,12.6
22,60,1009.3,15.2
37,79,1005.2,7.9
35,78,1009.8,6.7
17,79,1012.3,9.2
6,73,1015.6,9.4
7,75,1018,11.3
6,76,1012.4,12.9
4,68,1009.6,16.1
17,87,1014,9.6
0,85,1020.6,12.6
0,85,1020.7,12.5
6,85,1020.2,8.8
0,90,1018.7,7.1
6,65,1024,7.8
11,63,1027.7,11.8
17,55,1029.5,11.2
7,68,1022.6,11.3
9,88,1007.9,11
17,70,1001.9,10.8
26,88,1000.5,10.3
15,79,1008.5,11.1
15,77,1016,8.8
6,83,1022.7,10.9
6,72,1026.9,12.1
4,78,1026.6,12.2
7,71,1022.9,13.4
7,73,1018.9,15.4
9,67,1020.8,15.6
2,70,1019.6,14.8
9,68,1019.5,14.7
2,68,1014.7,14.4
20,52,1023.8,14.7
7,64,1027.5,12.9
4,67,1025.4,17.9
9,65,1023.4,19.1
11,75,1022.8,19.1
11,65,1022.3,21.4
9,66,1021.6,23.1
9,66,1018.8,23.9
24,46,1009.8,24.2
7,59,1017.1,15
7,67,1020.5,14
11,55,1025,17.5
6,57,1028.5,19.2
4,55,1029.1,21
7,48,1025.4,22.1
7,49,1021,23.3
4,43,1021.4,24.5
2,49,1018.9,24.7
19,42,1017.2,23.2
13,55,1015.6,21.7
6,57,1009.8,23.9
4,46,1007,24.1
19,38,1008,19.5
9,53,1010,21
17,29,1006.8,27.8
4,45,1007.6,24.7
9,95,1010.8,19.7
0,98,1003.7,19.2
7,63,1020.7,14.4
7,60,1024.6,18.1
4,60,1020.8,22
13,48,1012.2,28.2
11,82,1010.7,17.6
